Product_Key	metier	Prix Unitaire Facture	Date	QTY_STOCK	Qte Commandee Unite
48690	BOUL	8.726199999999999	01/03/2016 00:00	19800	3840
63509	VIEN	10.891240000000002	03/03/2016 00:00	72000	3840
63509	VIEN	12.261296	17/03/2016 00:00	72000	3840
63518	VIEN	22.779999999999994	25/03/2016 00:00	32820	3840
48714	BOUL	11.200000000000003	08/03/2016 00:00	6550	3800
63503	VIEN	18.48	06/01/2016 00:00	27972	3780
63503	VIEN	18.48	13/01/2016 00:00	27972	3780
63503	VIEN	18.48	06/02/2016 00:00	27972	3780
49995	PAT	2.3800980000000003	26/02/2016 00:00	15876	3780
63503	VIEN	18.48	26/03/2016 00:00	27972	3780
48714	BOUL	12.320000000000004	23/01/2016 00:00	6550	3750
63499	VIEN	7.8	27/01/2016 00:00	80352	3744
63499	VIEN	7.500048	17/02/2016 00:00	80352	3744
48692	BOUL	7.669999999999999	09/01/2016 00:00	19560	3720
48677	BOUL	16.464799999999997	15/01/2016 00:00	16320	3720
48690	BOUL	12.126000000000001	27/01/2016 00:00	19800	3720
63518	VIEN	34.24699999999999	09/02/2016 00:00	32820	3720
48690	BOUL	9.896199999999999	16/02/2016 00:00	19800	3720
48677	BOUL	13.273599999999998	02/03/2016 00:00	16320	3720
48692	BOUL	8.56	26/03/2016 00:00	19560	3720
48714	BOUL	8.96	26/01/2016 00:00	6550	3700
63441	VIEN	13.679999999999998	02/03/2016 00:00	2200	3700
63441	VIEN	13.679999999999998	05/03/2016 00:00	2200	3700
63509	VIEN	16.419428	01/01/2016 00:00	72000	3680
63505	VIEN	4.800243	02/01/2016 00:00	11520	3680
63562	VIEN	4.590135	02/01/2016 00:00	26720	3680
63509	VIEN	11.858039999999999	13/01/2016 00:00	72000	3680
63509	VIEN	11.964468	03/02/2016 00:00	72000	3680
63509	VIEN	16.259668	05/02/2016 00:00	72000	3680
63509	VIEN	12.011175999999999	11/02/2016 00:00	72000	3680
63505	VIEN	4.800243	19/03/2016 00:00	11520	3680
63576	VIEN	9.706979999999998	24/03/2016 00:00	66240	3680
48703	BOUL	14.243199999999998	25/03/2016 00:00	9840	3680
48714	BOUL	12.320000000000004	05/02/2016 00:00	6550	3625
49672	PAT	2.2199999999999998	15/01/2016 00:00	28800	3600
63570	VIEN	3.9800000000000004	15/01/2016 00:00	53100	3600
48677	BOUL	14.524799999999999	27/01/2016 00:00	16320	3600
48689	BOUL	14.950399999999998	27/01/2016 00:00	18240	3600
49672	PAT	1.48	27/01/2016 00:00	28800	3600
63570	VIEN	7.080000000000001	27/01/2016 00:00	53100	3600
63570	VIEN	3.98	02/02/2016 00:00	53100	3600
63570	VIEN	5.0200000000000005	24/02/2016 00:00	53100	3600
48692	BOUL	9.266528	25/02/2016 00:00	19560	3600
48677	BOUL	19.554399999999998	04/03/2016 00:00	16320	3600
63570	VIEN	3.98	15/03/2016 00:00	53100	3600
49672	PAT	1.48	23/03/2016 00:00	28800	3600
48714	BOUL	13.440000000000005	18/03/2016 00:00	6550	3575
63503	VIEN	18.48	27/02/2016 00:00	27972	3564
63421	VIEN	32.5	06/01/2016 00:00	500	3550
50311	NEGOCE	4.220000000000001	08/01/2016 00:00		3535
63509	VIEN	7.489520000000001	04/01/2016 00:00	72000	3520
63588	VIEN	2.2600540000000002	04/01/2016 00:00	67200	3520
63559	VIEN	11.164888000000001	13/01/2016 00:00	74080	3520
63588	VIEN	3.360168	21/01/2016 00:00	67200	3520
63509	VIEN	12.479668000000002	26/01/2016 00:00	72000	3520
63576	VIEN	12.89088	27/01/2016 00:00	66240	3520
63588	VIEN	4.5401679999999995	28/01/2016 00:00	67200	3520
63509	VIEN	15.039668000000002	02/02/2016 00:00	72000	3520
63576	VIEN	8.236934999999999	04/02/2016 00:00	66240	3520
63588	VIEN	7.079999999999999	13/02/2016 00:00	67200	3520
63588	VIEN	3.360168	18/02/2016 00:00	67200	3520
63559	VIEN	15.467144000000001	24/02/2016 00:00	74080	3520
63509	VIEN	9.849668000000001	01/03/2016 00:00	72000	3520
63509	VIEN	15.689788000000002	04/03/2016 00:00	72000	3520
63509	VIEN	11.752068000000001	05/03/2016 00:00	72000	3520
63509	VIEN	14.699788000000003	08/03/2016 00:00	72000	3520
63559	VIEN	9.391916	12/03/2016 00:00	74080	3520
63588	VIEN	4.72	15/03/2016 00:00	67200	3520
63559	VIEN	10.781612	19/03/2016 00:00	74080	3520
63441	VIEN	13.679999999999998	23/03/2016 00:00	2200	3500
48690	BOUL	9.922689	28/01/2016 00:00	19800	3480
63518	VIEN	25.249999999999996	03/02/2016 00:00	32820	3480
48677	BOUL	15.809600000000001	05/02/2016 00:00	16320	3480
48690	BOUL	9.9264	06/02/2016 00:00	19800	3480
48692	BOUL	6.893228	27/02/2016 00:00	19560	3480
48677	BOUL	15.249600000000001	25/03/2016 00:00	16320	3480
63499	VIEN	7.8	02/01/2016 00:00	80352	3456
63503	VIEN	18.48	02/01/2016 00:00	27972	3456
63499	VIEN	3.4000000000000004	14/01/2016 00:00	80352	3456
63503	VIEN	15.4	30/01/2016 00:00	27972	3456
63499	VIEN	7.500048	24/02/2016 00:00	80352	3456
63499	VIEN	8.74	30/03/2016 00:00	80352	3456
48714	BOUL	14.560000000000006	30/01/2016 00:00	6550	3450
48714	BOUL	8.96	14/03/2016 00:00	6550	3450
63518	VIEN	34.247	12/02/2016 00:00	32820	3420
63518	VIEN	24.569999999999997	24/02/2016 00:00	32820	3420
49995	PAT	2.440049	03/02/2016 00:00	15876	3402
49995	PAT	0.700049	25/02/2016 00:00	15876	3402
49995	PAT	3.780196	01/03/2016 00:00	15876	3402
49995	PAT	5.370049	02/03/2016 00:00	15876	3402
49995	PAT	1.4600490000000002	12/03/2016 00:00	15876	3402
49995	PAT	0.700049	17/03/2016 00:00	15876	3402
63441	VIEN	13.679999999999998	03/02/2016 00:00	2200	3400
48714	BOUL	11.200000000000003	19/02/2016 00:00	6550	3375
48714	BOUL	13.440000000000005	29/03/2016 00:00	6550	3375
63509	VIEN	10.691668	09/01/2016 00:00	72000	3360
48689	BOUL	9.342799999999999	13/01/2016 00:00	18240	3360
63576	VIEN	8.210835000000001	13/01/2016 00:00	66240	3360
63559	VIEN	11.062744000000002	16/01/2016 00:00	74080	3360
63518	VIEN	21.509999999999998	20/01/2016 00:00	32820	3360
63509	VIEN	12.229548000000001	22/01/2016 00:00	72000	3360
63576	VIEN	10.41018	26/01/2016 00:00	66240	3360
63509	VIEN	8.32124	04/02/2016 00:00	72000	3360
48692	BOUL	8.768813999999999	06/02/2016 00:00	19560	3360
63576	VIEN	10.637069999999998	11/02/2016 00:00	66240	3360
48710	BOUL	21.720000000000002	12/02/2016 00:00	5240	3360
63509	VIEN	13.379548000000002	19/02/2016 00:00	72000	3360
48677	BOUL	13.6088	24/02/2016 00:00	16320	3360
48690	BOUL	13.434678	25/02/2016 00:00	19800	3360
48689	BOUL	12.492799999999997	02/03/2016 00:00	18240	3360
63576	VIEN	8.52018	03/03/2016 00:00	66240	3360
63576	VIEN	11.30538	05/03/2016 00:00	66240	3360
48689	BOUL	12.531199999999998	09/03/2016 00:00	18240	3360
63559	VIEN	5.294592000000001	14/03/2016 00:00	74080	3360
63509	VIEN	12.069788000000003	25/03/2016 00:00	72000	3360
63509	VIEN	12.319908000000002	29/03/2016 00:00	72000	3360
63570	VIEN	3.9800000000000004	05/01/2016 00:00	53100	3300
63570	VIEN	6.11	20/01/2016 00:00	53100	3300
63518	VIEN	21.82	27/01/2016 00:00	32820	3300
63570	VIEN	6.11	13/02/2016 00:00	53100	3300
48714	BOUL	10.080000000000002	04/03/2016 00:00	6550	3300
63570	VIEN	6.11	05/03/2016 00:00	53100	3300
63570	VIEN	2.8899999999999997	21/03/2016 00:00	53100	3300
48690	BOUL	7.6626	07/01/2016 00:00	19800	3240
48677	BOUL	15.1048	22/01/2016 00:00	16320	3240
48692	BOUL	6.675514	30/01/2016 00:00	19560	3240
48692	BOUL	7.974228	11/02/2016 00:00	19560	3240
48692	BOUL	9.605414	20/02/2016 00:00	19560	3240
48690	BOUL	9.412689	07/03/2016 00:00	19800	3240
63518	VIEN	33.876999999999995	08/03/2016 00:00	32820	3240
48692	BOUL	7.861013999999999	12/03/2016 00:00	19560	3240
48690	BOUL	11.242689	14/03/2016 00:00	19800	3240
48690	BOUL	9.386199999999999	15/03/2016 00:00	19800	3240
48692	BOUL	7.486528	17/03/2016 00:00	19560	3240
48690	BOUL	8.984589	21/03/2016 00:00	19800	3240
63576	VIEN	12.630269999999996	01/01/2016 00:00	66240	3200
48714	BOUL	7.840000000000001	02/01/2016 00:00	6550	3200
63559	VIEN	7.747876	02/01/2016 00:00	74080	3200
63576	VIEN	7.890224999999999	02/01/2016 00:00	66240	3200
63509	VIEN	12.479668	19/01/2016 00:00	72000	3200
63559	VIEN	12.166715999999997	26/01/2016 00:00	74080	3200
63559	VIEN	11.234916	27/01/2016 00:00	74080	3200
63588	VIEN	7.079999999999999	27/01/2016 00:00	67200	3200
63509	VIEN	7.651788	30/01/2016 00:00	72000	3200
63588	VIEN	7.079999999999999	20/02/2016 00:00	67200	3200
63509	VIEN	10.272216	27/02/2016 00:00	72000	3200
